league,hfa.before,hfa.adjustment,hfa.now,home.pts,result.likelihood,mean.pts,min.pts,q025.pts,median.pts,q975.pts,max.pts,sd.pts,z.pts
English League Championship,0.12306949419577295,0.30000000000000004,0.03692084825873189,56,0.1859,63.8757,31,47,64,80,101,8.361557335455364,-0.9418939180868628
English League Championship,0.12306949419577295,0.35000000000000003,0.04307432296852054,56,0.1703,64.3919,34,48,64,81,97,8.408613730484166,-0.9980123084470433
English League Championship,0.12306949419577295,0.4,0.04922779767830918,56,0.1634,64.7788,37,49,65,81,100,8.42034208189178,-1.042570469776887
English League Championship,0.12306949419577295,0.45,0.055381272388097834,56,0.1473,65.4612,35,49,65,82,99,8.459317381742837,-1.1184353976858066
English League Championship,0.12306949419577295,0.5,0.06153474709788648,56,0.1288,65.9202,30,50,66,82,100,8.38323683465895,-1.183337676801251
English League Championship,0.12306949419577295,0.55,0.06768822180767513,56,0.1192,66.3041,36,50,66,83,99,8.359318812624693,-1.232648285221303
English League Championship,0.12306949419577295,0.6000000000000001,0.07384169651746378,56,0.1098,66.7916,35,51,67,83,99,8.419397725835655,-1.2817543904458912
English League Championship,0.12306949419577295,0.65,0.07999517122725243,56,0.0985,67.1621,36,51,67,84,100,8.38608706344166,-1.3310260095748463
English League Championship,0.12306949419577295,0.7000000000000001,0.08614864593704108,56,0.0877,67.8466,35,51,68,84,101,8.416825573532668,-1.4074902582337583
English League Championship,0.12306949419577295,0.75,0.09230212064682972,56,0.0813,68.2224,35,52,68,85,101,8.462499608860433,-1.4443013961504774
English League Championship,0.12306949419577295,0.8,0.09845559535661837,56,0.0723,68.8035,36,52,69,85,100,8.444715452394307,-1.516155289325925
English League Championship,0.12306949419577295,0.8500000000000001,0.10460907006640702,56,0.0651,69.2576,40,53,69,86,101,8.469546361025255,-1.5653258669210635
English League Championship,0.12306949419577295,0.9,0.11076254477619567,56,0.0615,69.766,38,53,70,86,105,8.573657023667085,-1.6056158955273996
English League Championship,0.12306949419577295,0.9500000000000001,0.11691601948598432,56,0.0492,70.1642,39,54,70,87,101,8.390618487802957,-1.6880996342033447
English League Championship,0.12306949419577295,1,0.12306949419577295,56,0.0463,70.5852,37,54,71,87,103,8.352479712740113,-1.746211963586462
English League Championship,0.12306949419577295,1.05,0.12922296890556162,56,0.0458,71.058,39,54,71,87,100,8.452773564818463,-1.7814271120042007
English League Championship,0.12306949419577295,1.1,0.13537644361535026,56,0.0357,71.5947,32,55,72,88,105,8.443527771383394,-1.8469412812086903
English League Championship,0.12306949419577295,1.15,0.1415299183251389,56,0.0335,72.0016,38,55.97500000000002,72,88,106,8.427010080087063,-1.8988466666026198
German 2. Bundesliga,0.10142278885170712,0,0,131,0.9646,110.7466,70,89,111,133,160,11.285438607003949,1.7946489015881377
German 2. Bundesliga,0.10142278885170712,0.05,0.005071139442585356,131,0.9567,111.6284,69,89,112,134,158,11.590312634898916,1.671361300615076
German 2. Bundesliga,0.10142278885170712,0.1,0.010142278885170712,131,0.9524,112.3572,65,89.97500000000002,112,135,153,11.429211295933097,1.6311536743251687
German 2. Bundesliga,0.10142278885170712,0.15000000000000002,0.01521341832775607,131,0.9451,113.0468,62,91,113,136,159,11.49864477419684,1.5613318223628656
